a	c
absorbed	əb'sɔ:bd
absorbedly	əb'sɔ:bidli
absorbefacient	əb,sɔ:bi'feiʃənt
absorbent	əb'sɔ:bənt
absorber	əb'sɔ:bə
absorbing	əb'sɔ:biɳ
absorption	əb'sɔ:pʃn
absorptive	əb'sɔ:ptiv
absorptivity	,æbsɔ:p'tiviti
abstain	əb'stein
abstainer	əb'steinə
abstaining	əb'steiniɳ
abstemious	æb'sti:mjəs
abstention	æb'stenʃn
absterge	əb'stə:dʤ
abstergent	əb'stə:dʤnt
abstersion	əb'stə:ʃn
abstersive	əb'stə:siv
abstinence	'æbstinəns
abstinency	'æbstinənsi
abstinent	'æbstinənt
abstract	'æbstrækt
abstracted	æb'stræktid
abstractedly	æb'stræktidli
abstractedness	æb'stræktidnis
abstraction	æb'strækʃn
abstractionism	æb'strækʃənizm
abstractionist	æb'strækʃənist
abstractness	'æbstræktnis
abstruse	æb'stru:s
abstruseness	æb'stru:snis
absurd	əb'sə:d
absurdity	əb'sə:diti
abulia	ə'bauliə
abundance	ə'bʌndəns
abundant	ə'bʌndənt
abuse	ə'bju:s
abuser	ə'bju:zə
abusive	ə'bju:siv
abusiveness	ə'bju:sivnis
abut	ə'bʌt
abutilon	ə'bju:tilən
abutment	ə'bʌtmənt
abuttal	ə'bʌtl
abutter	ə'bʌtə
abysm	ə'bizm
abysmal	ə'bizməl
abyss	ə'bis
abyssal	ə'bisəl
acacia	ə'keiʃə
academe	,æk'ədi:m
academic	,ækə'demik
academical	,ækə'demikəl
academicals	,ækə'demikəlz
academician	ə,ækədə'miʃn
academy	ə'kædəmi
acaleph	'ækəlef
acanthi	ə'kænθəs
acanthus	ə'kænθəs
acari	'ækərəs
acarpellous	,ækɑ:'peləs
acarpous	ə'kɑ:pəs
acarus	'ækərəs
acaulesent	ə'kɔ:ləs
acauline	ə'kɔ:ləs
acaulose	ə'kɔ:ləs
acaulous	ə'kɔ:ləs
accede	æk'si:d
accelerate	æk'seləreit
accelerating	æk'seləreitiɳ
acceleration	æk'selə'reiʃn
accelerative	æk'selərətiv
accelerator	æk'seləreitə
accent	'æksənt
accentor	æk'sentə
accentual	æk'sentjuəl
accentuate	æk'sentjueit
accentuation	æk'sentju'eiʃn
accept	ək'sept
acceptability	ək,septə'biliti
acceptable	ək'septəbl
acceptance	ək'septəbl
acceptation	,æksep'teiʃn
accepted	ək'septid
acceptor	ək'septə
access	'ækses
accessary	æk'sesəri
accessibility	æk,sesi'biliti
accessible	æk'sesəbl
accession	æk'seʃn
accessory	æk'sesəri
accidence	'æksidəns
accident	'æksidənt
accidental	,æksi'dentl
accidentally	,æksi'dentəli
accipitral	æk'sipitrəl
acclaim	ə'kleim
acclamation	,æklə'meiʃn
acclamatory	ə'klæmətəri
acclimatation	ə'klaimətai'zeiʃn
acclimate	ə'klaimətaiz
acclimation	ə'klaimətai'zeiʃn
acclimatise	ə'klaimətaiz
acclimatization	ə'klaimətai'zeiʃn
acclimatize	ə'klaimətaiz
acclivity	ə'kliviti
acclivous	ə'klaivəs
accolade	'ækəleid
accommodate	ə'kɔmədeit
accommodating	ə'kɔmədeitiɳ
accommodation	ə,kɔmə'deiʃn
accompaniment	ə'kʌmpənimənt
accompanist	ə'kʌmpənist
accompany	ə'kʌmpəni
accomplice	ə'kɔmplis
accomplish	ə'kɔmpliʃ
accomplished	ə'kɔmpiʃt
accomplishment	ə'kɔmpliʃmənt
accord	ə'kɔ:d
accordance	ə'kɔ:dəns
accordant	ə'kɔ:dənt
according	ə'kɔ:diɳ
accordingly	ə'kɔ:diɳ
accordion	ə'kɔ:djən
accordionist	ə'kɔ:djənist
accost	ə'kɔst
accouchement	ə'ku:ʃma:ɳ
accoucheur	,æku:'ʃə:
accoucheuse	,æku:'ʃə:z
account	ə'kaunt
accountability	ə,kauntə'biliti
accountable	ə'kauntəbl
accountancy	ə'kauntənsi
accountant	ə'kauntənt
accountantship	ə'kauntəntʃip
accounting	ə'kauntiɳ
accoutre	ə'ku:tə
accoutrement	ə'ku:təmənt
accredit	ə'kredit
accredited	ə'kreditid
accrescent	ə'kresənt
accrete	ə'kri:t
accretion	æ'kri:ʃn
accretive	æ'kri:tiv
accrual	ə'kru:əl
accrue	ə'kru:
accruement	ə'kru:əl
accumulate	ə'kju:mjuleit
accumulation	ə,kju:mju'leiʃ
accumulative	ə'kju:mjulətiv
accumulator	ə'kju:mjuleitə
accuracy	'ækjurəsi
accurate	'ækjurit
accurateness	'ækjurəsi
accursal	,ækju:'zeiʃn
accursed	ə'kə:sid
accurst	ə'kə:sid
accusation	,ækju:'zeiʃn
accusative	ə'kju:zətiv
accusatorial	ə,kju:zə'tɔ:riəl
accusatory	ə,kju:zə'tɔ:riəl
accuse	ə'kju:z
accuser	ə'kju:ze
accustom	ə'kʌstəm
accustomed	ə'kʌstəmd
ace	eis
acephalous	ə'sefələs
acerbate	eks'æsə:beit
acerbity	ə'sə:biti
acerose	'æsirous
acerous	'æsirous
acervate	ə'sə:veit
acescent	ə'sesənt
acetate	'æsitit
acetic	ə'si:tik
acetification	ə,setifi'keiʃn
acetify	ə'setifai
acetone	'æsitoun
acetous	'æsitəs
acetylene	ə'setili:n
ache	cik
achene	ə'ki:ni
achievable	ə'tʃi:vəbl
achieve	ə'tʃi:v
achievement	ə'tʃi:vmənt
achilles	ə'kili:z
aching	'eikiɳ
achlamydeous	,æklə'midiəs
achromatic	,ækrou'mætik
achromatism	ə'kroumətizm
achromatize	ə'kroumətaiz
achromatous	ə'kroumətəs
achromous	ə'kroumətaiz
acicular	ə'sikjulə
acid	'æsid
acidic	'æsidik
acidification	'æsidifi'keiʃn
acidifier	ə'sidifaiə
acidify	ə'sidifai
acidimeter	,æsi'dimitə
acidity	ə'siditi
acidly	'æsidli
acidose	'æsidous
acidulate	ə'sidjuleit
acidulated	ə'sidjuletid
acidulous	ə'sidjuləs
aciform	'æsifɔ:m
acknowledge	ək'nɔlidʤ
acknowledgement	ək'nɔlidʤmənt
acknowledgment	ək'nɔlidʤmənt
aclinic	ə'klinik
acme	'ækmi
acock	ə'kɔk
acolyte	'ækəlait
aconite	'ækənait
acorn	'eikɔ:n
acotyledon	æ,kɔti'li:dən
acotyledonous	æ,kɔti'li:dənəs
acoumeter	ə'ku:mitə
acoustic	ə'ku:mitə
acoustician	,æku:s'tiʃn
acoustics	ə'ku:stiks
acquaint	ə'kweint
acquaintance	ə'kweintəns
acquaintanceship	ə'kweintənʃip
acquainted	ə'kweintid
acquest	æ'kwest
acquiesce	,ækwi'es
acquiescence	,ækwi'esns
acquiescent	,ækwwi'esnt
acquire	ə'kwaiə
acquirement	ə'kwaiəmənt
acquisition	,ækwi'ziʃn
acquisitive	ə'kwizitiv
acquisitiveness	ə'kwizitivnis
acquit	ə'kwit
acquittal	ə'kwitl
acquittancce	ə'kwitəns
acre	acre
acreage	'eikəridʤ
acrid	'ækrid
acridity	æ'kriditi
acrimonious	,ækri'mounjəs
acrimony	'ækriməni
acrobat	'ækrəbæt
acrobatically	,ækrə'bætikəli
acrobatics	,ækrə'bætiks
acrobatism	'ækrəbætizm
acrocarpous	,ækrou'kɑ:pəs
acrogenous	ə'krɔdʤinəs
acromegaly	,ækrə'megəli
acronycal	ə'krɔnikəl
acronychal	ə'krɔnikəl
acronym	'ækrənim
acropetal	ə'krɔpitəl
acrophobia	,ækrə'foubjə
acropolis	ə'krɔpəlis
acrospore	'ækrəspɔ:
across	ə'krɔs
acrostic	ə'krɔstik
act	ækt
acting	'æktiɳ
actinia	æk'tiniə
actiniae	æk'tiniə
actinic	æk'tinik
actinism	'æktinizm
actinium	æk'tiniəm
actinometer	,ækti'nɔmitə
actinomorphic	,æktinə'mɔ:fəs
actinomorphous	,æktinə'mɔ:fəs
action	'ækʃn
actionable	'ækʃnəbl
activate	'æktiveit
activated	'æktiveitid
activation	,ækti'veiʃn
active	'æktiv
actively	'æktivli
activity	æk'tiviti
actor	'æktə
actress	'æktris
actual	'æktjuəl
actualise	'æktjuəlaiz
actuality	,æktju'æliti
actualization	,æktjuəlai'zeiʃn
actualize	'æktjuəlaiz
actually	'æktjuəli
actuary	'æktjuəri
actuate	'æktjueit
actuation	,æktju'eiʃn
acuity	ə'kju:iti
aculeate	ə'kju:liit
acumen	ə'kju:men
acuminate	ə'kju:minit
acupuncture	'ækjupʌɳktʃə
acute	'əkju:t
acuteness	ə'kju:tnis
ad	æd
adage	'ædidʤ
adagio	ə'dɑ:dʤiou
adam	'ædəm
adamant	'ædəmənt
adamantine	,ædə'mæntain
adapt	ə'dæpt
adaptability	ə,dæptə'biliti
adaptable	ə'dæptəbl
adaptableness	ə,dæptə'biliti
adapter	ə'dæptə
add	æd
addax	'ædæks
addenda	ə'dendəm
addendum	ə'dendəm
adder	'ædə
addict	'ædikt
addiction	ə'dikʃn
addition	ə'diʃn
additional	ə'diʃənl
additive	'æditiv
addle	'ædl
address	ə'dres
addressee	,ædre'si:
adduce	ə'dju:s
adduceable	ə'dju:sibl
adducent	ə'dju:snt
adducible	ə'dju:sibl
adduct	ə'dʌkt
adduction	ə'dʌkʃn
addutor	ə'kʌktə
adenite	'ædinait
adenoids	'ædinɔidz
adept	'ædept
adequacy	'ædikwəsi
adequate	'ædikwit
adequateness	'ædikwəsi
adequation	,ædi'kweiʃn
adespota	ə'despətə
adhere	əd'hiə
adherence	əd'hiərəns
adherent	əd'hiərənt
adherer	əd'hiərənt
adhesion	əd'hi:ʤn
adhesive	əd'hi:siv
adhesiveness	əd'hi:sivnis
adhibit	əd'hibit
adiabatic	,ædiə'bætik
adiantum	,ædi'æntəm
adieu	ə'dju:
adipocere	,ædipou'siə
adipose	'ædipous
adiposis	'ædipousis
adiposity	,ædi'pɔsiti
adit	'ædit
adjacence	ə'dʤeisəns
adjacency	ə'dʤeisəns
adjacent	ə'dʤeizənt
adjectival	,ædʤek'taivəl
adjective	'ædʤiktiv
adjoin	ə'dʤɔin
adjoining	ə'dʤɔiniɳ
adjourn	ə'dʤə:n
adjournment	ə'dʤə:nmənt
adjudge	ə'dʤʌdʤ
adjudgement	ə'dʤʌdʤmənt
adjudgment	ə'dʤʌdʤmənt
adjudicate	ə'dʤu:di'keit
adjudication	ə,dʤu:di'keiʃn
adjudicator	ə'dʤu:dikeitə
adjunct	'ædʤʌɳkt
adjunction	ə'dʤʌɳkʃn
adjunctive	ə'dʤʌɳktiv
adjuration	,ædʤuə'reiʃn
adjure	ə'dʤuə
adjust	ə'dʤʌst
adjustable	ə'dʤʌstəbl
adjuster	ə'dʤʌstə
adjustment	ə'dʤʌstmənt
adjutage	'ædʤutidʤ
adjutancy	'ædʤutənsi
adjutant	'ædʤutənt
adjuvant	'ædʤuvənt
adman	'ædmən
admass	'ædməs
admeasure	æd'meʤə
admeasurement	æd'meʤəmənt
administer	əd'ministə
administrate	əd'ministreit
administration	əd,minis'treiʃn
administrative	əd'ministrətiv
administrator	ədministreitə
administratorship	əd'ministreitəʃip
administratrices	əd'ministreitriks
administratrix	əd'ministreitriks
admirability	,ædmərə'biliti
admirable	'ædmərəbl
admiral	'ædmərəl
admiralship	'ædmərəʃip
admiralty	'ædmərəlti
admiration	,ædmə'reiʃn
admire	əd'maiə
admirer	əd'maiərə
admiring	əd'maiəriɳ
admissibility	əd,misi'biliti
admissible	əb'misəbl
admission	əd'miʃn
admit	əd'mit
admittable	əd'mitəbl
admittance	əd'mitəns
admittedly	əd'mitidli
admix	əd'miks
admixture	əd'mikstʃə
admonish	əd'mɔniʃ
admonishment	,ædmə'niʃn
admonition	,ædmə'niʃn
admonitory	əd'mɔnitəri
adnate	'ædneit
adnoun	'ædnaun
ado	ə'du:
adobe	ə'doubi
adolescence	,ædou'lesns
adolescency	,ædou'lesns
adolescent	,ædou'lesns
adonis	ə'dounis
adonize	'ædənaiz
adopt	ə'dɔpt
adoptability	ə,dɔptə'biliti
adoptable	ə'dɔptəbl
adoptee	,ædɔp'ti:
adopter	ə'dɔptə
adoption	ə'dɔpʃn
adoptive	ə'dɔptiv
adorability	ə,dɔ:rə'biliti
adorable	ə'dɔ:rəbl
adorableness	ə,dɔ:rə'biliti
adoration	,ædɔ:'reiʃn
adore	ə'dɔ:
adorer	ə'dɔ:rə
adorn	ə'dɔ:n
adornment	ə'dɔ:nmənt
adown	ə'daun
adrenal	æd'ri:nəl
adrenalin	ə'drenəlin
adrift	ə'drift
adroit	ə'drɔit
adroitness	ə'drɔitnis
adscititious	,ædsi'tiʃəs
adsorb	æd'sɔ:b
adsorbate	æd'sɔ:bit
adsorbent	æd'sɔ:bənt
adsorber	æd'sɔ:bə
adsorption	æd'sɔ:pʃn
adulate	'ædjuleit
adulation	,ædju'leiʃn
adulator	'ædjuleitə
adulatory	'ædjuleitəri
adult	'ædʌlt
adulterant	ə'dʌltərənt
adulterate	ə'dʌltərit
adulteration	ə,dʌltə'reiʃn
adulterer	ə'dʌltərə
adulteress	ə'dʌltəris
adulterine	ə'dʌltərain
adulterous	ə'dʌltərəs
adultery	ə'dʌltəri
adulthood	ə'dʌlthud
adumbral	ə'dʌmbrəl
adumbrate	'ædʌmbreit
adumbration	,ædʌm'breiʃn
adust	ə'dʌst
advance	əd'vɑ:ns
advanced	əd'vɑ:nst
advancement	əb'vɑ:nsmənt
advantage	əb'vɑ:ntidʤ
advantageous	,ædvən'teidʤəs
advantageousness	,ædvən'teidʤəsnis
advent	'ædvənt
adventitious	,ædven'tiʃəs
adventitiousness	,ædven'tiʃəsnis
adventure	əd'ventʃə
adventurer	əd'ventʃərə
adventuresome	əd'ventʃəsəm
adventuress	əd'ventʃəris
adventurism	əd'ventʃərizm
adventurous	əd'ventʃərəs
adventurousness	əd'ventʃərəsnis
adverb	'ædvə:b
adverbial	əd'və:bjəl
adversary	'ædvəsəri
adversative	əd'və:setiv
adverse	'ædvə:s
adversity	əd'və:siti
advert	əd'və:t
advertence	əd'və:təns
advertency	əd'və:təns
advertise	'ædvətaiz
advertisement	əd'və:tismənt
advertiser	'ædvətaizə
advertize	'ædvətaiz
advice	əd'vais
advisability	əd,vaizə'biliti
advisable	əd'vaizəbl
advisableness	əd,vaizə'biliti
advise	əd'vaiz
advised	əd'vaizd
advisedly	əd'vaizidli
adviser	əd'vaizə
advisor	əd'vaizə
advisory	əd'vaizəri
advocacy	'ædvəkəsi
advocate	'ædvəkit
adynamia	,ædi'neimiə
adynamic	,ædai'næmik
adyta	'æditəm
adytum	'æditəm
adz	ædz
adze	ædz
aeger	'i:dʤə
aegis	'i:dʤis
aegrotat	i:'groutæt
aelotropic	,iou:lə'trɔpik
aelotropy	,i:ou'lɔtrəpi
aeon	'i:ən
aerate	'eiəreit
aeration	,eiə'reiʃn
aerial	'eəriəl
aerie	'eəri
aeriform	'eərifɔ:m
aerify	'eərifai
aerobatics	,eərou'bætiks
aerobe	'eəroub
aerobiology	'eəroubai'ɔlədʤi
aerocamera	,eərou'kæmərə
aerocarrier	'eərou'kæriə
aerodrome	'eərədroum
aerodynamic	'eəroudai'næmik
aerodynamical	'eəroudai'næmik
aerodynamics	'eəroudai'næmiks
aerodyne	'eəroudain
aeroembolism	,ərou'embəlizm
aerofoil	'eərou,fɔil
aerogram	'eərougræm
aerogun	'eərouðgʌn
aerolite	'eərəlait
aerology	eə'rɔlədʤi
aeromechanics	,eəroumi'kæniks
aerometer	eə'rɔmitə
aeronaut	'eərənɔ:t
aeronautic	,eərə'nɔ:tik
aeronautical	,eərə'nɔ:tik
aeronautics	,eəreə'nɔ:tiks
aeronavigation	'eərou,nævi'geiʃn
aerophotograph	'eərou'foutəgrɑ:f
aerophotography	'eəroufə'tɔgrəfi
aeroplane	'eərəplein
aeroport	'eərəpɔ:t
aerostat	'eəroustæt
aerostatics	,eərou'stætiks
aerotechnics	,eərou'tekniks
aeruginous	iə'ru:dʤinəs
aery	'eəri
aesthete	'i:sθi:t
aesthetic	i:s'θetik
aesthetically	i:s'θetikəli
aesthetics	i:s'θetiks
aestival	i:s'taivəl
aestivate	'i:stiveit
aestivation	,i:sti'veiʃn
aetiology	,i:ti'ɔlədʤi
afar	ə'fɑ:
affability	,æfə'biliti
affable	'æfəbl
affableness	,æfə'biliti
affair	ə'feə
affect	ə'fekt
affectation	,æfek'teiʃn
affected	ə'fektid
affectedly	ə'fektidli
affecting	ə'fektiɳ
affection	ə'fekʃn
affectionate	ə'fekʃnit
affectionateness	ə'fekʃnitnis
affective	ə'fektiv
affectivity	,æfek'tiviti
afferent	'æfərənt
affettuoso	ə,fetju'ouzou
affiance	ə'faiəns
affidavit	,æfi'deivit
affiliate	ə'filieit
affiliation	ə,fili'eiʃn
affinage	ə'finidʤ
affined	ə'faind
affinity	ə'finiti
affirm	ə'fə:m
affirmation	,æfə:'meiʃn
affirmative	ə'fə:mətiv
affix	'æfiks
affixture	ə'fikstʃə
afflatus	ə'fleitəs
afflict	ə'flikt
affliction	ə'flikʃn
afflictive	ə'fliktiv
affluence	'æfluəns
affluent	'æfluənt
afflux	'æflʌks
afford	ə'fɔ:d
afforest	æ'fɔrist
afforestation	æ,fɔris'teiʃn
afforestment	æ,fɔris'teiʃn
affranchise	ə'fræntʃaiz
affranchisement	ə'fræntʃaizmənt
affray	ə'frei
affreightment	ə'freitmənt
affricate	'æfrikit
affright	ə'frait
affront	ə'frʌnt
affusion	ə'fju:ʤn
afghan	'æfgæn
afield	ə'fi:ld
afire	ə'faiə
aflame	ə'fleim
afloat	ə'flout
afoot	ə'fut
afore	ə'fɔ:
aforecited	ə'fɔ:saitid
aforegoing	ə'fɔ:gouiɳ
aforementioned	ə'fɔ:,menʃnd
aforenamed	ə'fɔ:neimd
aforesaid	ə'fɔ:sed
aforethought	ə'fɔ:θɔ:t
aforetime	ə'fɔ:taim
afoul	ə'faul
afraid	ə'freid
afreet	'æfri:t
afresh	ə'freʃ
african	'æfrikən
afrikaans	,æfri'kɑ:ns
afrikaner	,æfri'kɑ:nə
afrikanist	'æfrikənist
afrit	'æfri:t
afrite	'æfri:t
aft	ɑ:ft
after	'ɑ:ftə
afterbirth	'ɑ:ftəbə:θ
afterburner	'ɑ:ftə,bə:nə
afterclap	'ɑ:ftəklæp
aftercrop	'ɑ:ftəkrɔp
afterdamp	'ɑ:ftər,imidʤ
afterglow	'ɑ:ftəglou
aftergrowth	'ɑ:ftəkrɔp
afterimage	'ɑ:ftər,imidʤ
afterlight	'ɑ:ftəlait
aftermath	'ɑ:ftəmæθ
aftermost	'ɑ:ftəmoust
afternoon	'ɑ:ftə'nu:n
afterpiece	'ɑ:ftəpi:s
afters	'ɑ:ftəz
aftershock	'ɑ:ftəʃɔk
aftertaste	'ɑ:ftəteist
afterthought	'ɑ:ftəθɔ:t
afterward	'ɑ:ftəwəd
afterwards	'ɑ:ftəwəd
afterword	'ɑ:ftəwə:d
afterworld	'ɑ:ftəwə:ld
again	ə'gen
against	ə'geinst
agamic	ə'gæmik
agamogenesis	,ægəmou'dʤenisis
agamous	ə'gæmik
agape	ə'geip
agaric	'ægərik
agaricaceous	ə,gæri'keiʃəs
agate	'ægət
agave	ə'geivi
agaze	ə'geiz
age	eidʤ
aged	'eidʤid
agedness	'eidʤidnis
ageing	'eidʤiɳ
ageless	'eidʤlis
agelong	'eidʤlɔɳ
agency	'eidʤənsi
agenda	ə'dʤendə
agent	'eidʤənt
agglomerant	ə'glɔmərənt
agglomerate	ə'glɔmərit
agglomeration	ə,glɔmə'reiʃn
agglomerative	ə'glɔmərətiv
agglutinant	ə'glu:tinənt
agglutinate	ə'glu:tineit
agglutination	ə,glu:ti'neiʃn
agglutinative	ə'glu:tinətiv
aggrandize	ə'grændaiz
aggrandizement	ə'grændizmənt
aggravate	'ægrəveit
aggravating	'ægrəveitɳ
aggravation	,ægrə'veiʃn
aggregate	'ægrigit
aggregation	,ægri'geiʃn
aggregative	'ægrigeitiv
aggress	ə'gres
aggression	ə'greʃn
aggressive	ə'gresiv
aggressiveness	ə'gresivnis
aggressor	ə'gresə
aggrieve	ə'gri:v
aghast	ə'gɑ:st
agile	'ædʤail
agility	ə'dʤiliti
aging	'eidʤiɳ
agio	'ædʤiou
agiotage	'ædʤətidʤ
agist	ə'dʤist
agitate	'ædʤiteit
agitation	,ædʤi'teiʃn
agitator	'ædʤiteitə
aglet	'æglit
agley	ə'gli:
aglow	ə'glou
agnail	'ægneil
agnate	'ægneit
agnation	æg'neiʃn
agnomen	æg'noumen
agnomina	æg'noumen
agnostic	æg'nɔstik
agnosticism	æg'nɔstisizm
ago	ə'gou
agog	ə'gɔg
agonic	ə'gɔnik
agonise	'ægənaiz
agonistic	,ægə'nistik
agonize	'ægənaiz
agonizing	'ægənaiziɳ
agony	'ægəni
agoraphobia	,ægərə'foubjə
agouti	ə'gu:ti
agouty	ə'gu:ti
agrarian	ə'greəriən
agree	ə'gri:
agreeability	ə'griəblnis
agreeable	ə'griəbl
agreeableness	ə'griəblnis
agreement	ə'gri:mənt
agrestic	ə'grestik
agricultural	,ægri'kʌltʃərəl
agriculturalist	,ægri'kʌltʃərəlist
agriculture	'ægrikʌltʃə
agriculturist	,ægri'kʌltʃərəlist
agrimotor	'ægri,moutə
agrobiological	,ægroubaiə'lɔdʤikəl
agrobiologist	,ægroubai'ɔlədʤist
agrobiology	,ægroubai'ɔlədʤi
agronomic	,ægrə'nɔmik
agronomical	,ægrə'nɔmik
agronomics	,ægrə'nɔmiks
agronomist	ə'grɔnəmist
agronomy	ə'gɔnəmi
aground	ə'graund
agrément	,ægre'ma:ɳ
ague	'eigju:
aguish	'eigju:iʃ
ah	ɑ:
aha	ɑ:hɑ:
ahead	ə'hed
aheap	ə'hi:p
ahem	ə'hem
ahoy	ə'hɔi
ahull	ə'hʌl
aiblins	'eiblinz
aid	eid
aide	'eiddə'ka:ɳ
aiglet	'æglit
aigrette	'eigret
aiguille	'eigwi:l
aiguillette	,eigwi'let
ail	eil
ailanthus	ei'lænθəs
aileron	'eilərɔn
ailing	'eiliɳ
ailment	'eilmənt
aim	eim
aimless	'eimlis
air	eə
aircraft	'eəkrɑ:ft
aircraftman	'eəkrɑ:ftmən
airdrome	'eədroum
airfield	'eəfi:ld
airfoil	'eərou,fɔil
airily	'eərili
airiness	'eərinis
airing	'eəriɳ
airless	'eəlis
airman	'eəmæn
airmanship	'eəmənʃip
airphoto	'eə,foutou
airplane	'eəplein
airscrew	'eəskru:
airshed	'eəʃed
airship	'eəʃip
airway	'eəwei
airwoman	'eə,wumən
airworthiness	'eə,wə:ði
airworthy	'eəri
airy	'eəri
aisle	ail
ait	eit
aitchbone	'eitʃboun
ajar	ə'dʤɑ:
ajog	ə'dʤɔg
akene	ə'ki:ni
akimbo	ə'kimbou
akin	ə'kin
alabaster	'æləbɑ:stə
alack	ə'læk
alackaday	ə'læk
